Role	Perspective	Actor Keyword(s)	Target Keyword(s)	Behavior Path	Animation Path(s)
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight, AnimSynth	AnimsGripRifleAssault	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Synth, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, AnimSynth	AnimsGripRifleAssault	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Synth, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft	AnimsGripRifleAssault	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Injured\OnGround, Actors\Character\Animations\Weapon\Rifle\Injured\OnGround, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, actors\Character\Animations\Weapon\Machinegun\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimSynth	AnimsGripRifleAssault	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Rifle\Injured\OnGround, actors\Character\Animations\Weapon\Machinegun\Synth, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, AnimSynth	AnimsGripRifleAssault	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Synth, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight, AnimSynth	AnimsGripRifleAssault	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Synth, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, AnimSynth	AnimsGripRifleAssault	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Synth, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsGripRifleAssault	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Injured\OnGround, Actors\Character\Animations\Weapon\Rifle\Injured\OnGround, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, actors\Character\Animations\Weapon\Machinegun\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimSynth	AnimsGripRifleAssault	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Rifle\Injured\OnGround, actors\Character\Animations\Weapon\Machinegun\Synth, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, AnimSynth	AnimsGripRifleAssault	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Synth, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredRight, AnimSynth	AnimsGripRifleAssault	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Synth, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, AnimSynth	AnimsGripRifleAssault	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Synth, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredLeft	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Injured\OnGround, Actors\Character\Animations\Weapon\Rifle\Injured\OnGround, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, actors\Character\Animations\Weapon\Machinegun\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimSynth	AnimsGripRifleAssault	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Rifle\Injured\OnGround, actors\Character\Animations\Weapon\Machinegun\Synth, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredLeft, AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredLeft, AnimSynth	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Synth, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredRight, AnimSynth	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Synth, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	AnimSynth	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Synth, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd		AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft	AnimsGripRifleStraight	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\GripRifleStraight, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight	AnimsGripRifleStraight	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\GripRifleStraight, Actors\Character\Animations\Weapon\Rifle\Neutral, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsGripRifleStraight	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\GripRifleStraight\Injured\Left, Actors\Character\Animations\Weapon\GripRifleStraight, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsGripRifleStraight	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\GripRifleStraight\Injured\OnGround, Actors\Character\Animations\Weapon\GripRifleStraight, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsGripRifleStraight	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\GripRifleStraight\Injured\Right, Actors\Character\Animations\Weapon\GripRifleStraight\Player, Actors\Character\Animations\Weapon\GripRifleStraight, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	AnimArchetypeConfident	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	1st		AnimsGripRifleAssault	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\Character\_1stPerson\Animations\Paired, actors\Character\_1stPerson\Animations\Rifle, Actors\Character\_1stPerson\Animations\Common
Weapon	1st		AnimsGripRifleAssault, AnimsLargeMag	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\Character\_1stPerson\Animations\Paired, Actors\Character\_1stPerson\Animations\Rifle\DrumMag, actors\Character\_1stPerson\Animations\Rifle, Actors\Character\_1stPerson\Animations\Common
