Role	Perspective	Actor Keyword(s)	Target Keyword(s)	Behavior Path	Animation Path(s)
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight, AnimSynth	AnimsLMG	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG\Synth, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, AnimSynth	AnimsLMG	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG\Synth, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft	AnimsLMG	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsLMG	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG\Injured\OnGround, Actors\Character\Animations\Weapon\Rifle\Injured\OnGround, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, actors\Character\Animations\Weapon\LMG\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimSynth	AnimsLMG	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Rifle\Injured\OnGround, actors\Character\Animations\Weapon\LMG\Synth, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, AnimSynth	AnimsLMG	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG\Synth, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight	AnimsLMG	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight, AnimSynth	AnimsLMG	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG\Synth, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, AnimSynth	AnimsLMG	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG\Synth, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight	AnimsLMG	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsLMG	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsLMG	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG\Injured\OnGround, Actors\Character\Animations\Weapon\Rifle\Injured\OnGround, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, actors\Character\Animations\Weapon\LMG\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimSynth	AnimsLMG	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Rifle\Injured\OnGround, actors\Character\Animations\Weapon\LMG\Synth, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, AnimSynth	AnimsLMG	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG\Synth, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsLMG	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredRight, AnimSynth	AnimsLMG	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG\Synth, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, AnimSynth	AnimsLMG	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG\Synth, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredLeft	AnimsLMG	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsLMG	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\LMG\Injured\OnGround, Actors\Character\Animations\Weapon\Rifle\Injured\OnGround, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, actors\Character\Animations\Weapon\LMG\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimSynth	AnimsLMG	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Rifle\Injured\OnGround, actors\Character\Animations\Weapon\LMG\Synth, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredLeft, AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredLeft, AnimSynth	AnimsLMG	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\LMG\Synth, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredRight	AnimsLMG	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorMobilityInjuredRight, AnimSynth	AnimsLMG	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\LMG\Synth, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	AnimSynth	AnimsLMG	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\LMG\Synth, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd		AnimsLMG	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	AnimArchetypeConfident	AnimsLMG	Actors\Character\Behaviors\WeaponBehavior.hkx	actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	1st		AnimsLMG	Actors\Character\_1stPerson\Behaviors\GunBehavior.hkx	Actors\Character\_1stPerson\Animations\Paired, actors\Character\_1stPerson\Animations\LMG, Actors\Character\_1stPerson\Animations\Common
